yil,cok_mutlu,mutlu,orta,mutsuz,cok_mutsuz
2003,14.53,45.4,33.95,4.28,1.85
2004,9.78,46.98,31.36,9.46,2.42
2005,8.59,47.01,31.6,9.87,2.93
2006,9.69,47.65,31.31,8.81,2.54
2007,8.96,52.4,28.66,8.29,1.69
2008,8.55,47.14,31.81,10.23,2.27
2009,8.56,47.36,31.4,10.5,2.18
2010,11.32,53.04,26.32,7.69,1.63
2011,9.92,52.07,28.07,8.29,1.65
2012,10.48,55.13,27.3,6.16,0.93
2013,11.46,48.84,30.89,6.65,2.17
2014,9.42,48.47,32.91,7.34,1.86
2015,10.55,48.05,31.88,6.85,2.66
2016,9.85,52.11,28.7,7.94,1.4
2017,10.82,47.75,31.94,7.51,1.98
2018,8.34,44.9,36.39,7.87,2.5
2019,7.71,44.34,34.27,9.51,4.17
2020,11.12,35.69,38.13,9.63,5.43
2021,7.16,39.42,36.35,12.55,4.52
2022,5.92,40.84,36.63,12.56,4.04
2023,4.8,45.89,34.86,10.89,3.56
