yil,en_dusuk,dusuk,orta,yuksek,en_yuksek
2004,6.57,14.22,18.99,5.4,1.54
2005,6.6,15.02,18.88,4.9,1.29
2006,6.42,13.18,19.62,5.82,1.76
2007,5.0,13.73,21.48,5.58,1.7
2008,4.38,13.58,20.34,7.4,2.1
2009,6.07,17.34,18.64,4.46,0.45
2010,4.91,15.18,20.4,5.89,1.18
2011,5.0,15.38,19.94,6.13,1.05
2012,4.87,15.08,21.81,5.09,0.72
2013,6.24,15.71,18.86,4.96,1.11
2014,5.88,15.98,19.12,5.14,0.94
2015,5.12,14.87,20.78,5.39,1.27
2016,4.68,16.9,20.14,4.52,1.42
2017,4.25,14.07,20.56,7.2,1.78
2018,4.19,14.4,21.4,6.85,1.06
2019,4.53,15.55,18.62,7.71,1.33
2020,5.71,13.56,18.26,7.6,2.0
2021,7.33,13.86,17.52,6.13,1.5
2022,7.15,12.94,17.39,7.48,1.46
2023,4.82,12.54,19.44,9.34,1.46
